id,name,name_en,external_uri,parent
ORG-000038,"Národní památkový ústav - Územní odborné pracoviště středních Čech","National Heritage Institute - Střední Čechy Regional Office","",ORG-000046
ORG-000039,"Národní památkový ústav - Územní odborné pracoviště v Telči","National Heritage Institute - Telč Regional Office","",ORG-000046
ORG-000049,"Národní památkový ústav - Územní odborné pracoviště v Ústí nad Labem","National Heritage Institute - Ústí nad Labem Regional Office","",ORG-000046
ORG-000054,"Naše historie z.s.","Our History","",
ORG-000018,"Národní technické muzeum","National Technical Museum","https://ror.org/02fy0zn70",
ORG-000070,"Okresní vlastivědné muzeum v Židlochovicích [zaniklé]","District Museum of Local History in Židlochovice [defunct]","",
ORG-000068,"Město Ždánice - Vrbasovo muzeum","Vrbas Museum","",
ORG-000067,"Jihomoravské muzeum ve Znojmě, příspěvková organizace","South Moravian Museum in Znojmo","https://ror.org/006eggh59",
ORG-000082,"Archeologický ústav SAV","Institute of Archeaeology of the Slovak Academy of Sciences","https://ror.org/004pv5w59",
ORG-000089,"Archeologický ústav ČSAV, pobočka Plzeň [zaniklé]","Institute of Archaeology of the Czechoslovak Academy of Sciences, Plzeň [defunct]","https://ror.org/0287jta43",ORG-000094
ORG-000087,"Archeologický ústav ČSAV, pobočka Most [zaniklé]","Institute of Archaeology of the Czechoslovak Academy of Sciences, Most [defunct]","https://ror.org/0287jta43",ORG-000094
ORG-000066,"Muzeum jihovýchodní Moravy ve Zlíně, příspěvková organizace","Museum of South-Eastern Moravia in Zlín","https://ror.org/01ktyn983",
ORG-000065,"Muzeum Vyškovska, příspěvková organizace","Museum of Vyškovsko","",
ORG-000026,"Regionální muzeum ve Vysokém Mýtě","Regional Museum in Vysoké Mýto","https://ror.org/012w6mj89",
ORG-000064,"Muzeum regionu Valašsko, příspěvková organizace","Museum of the Valašsko Region","",
ORG-000200,"Město Volyně - Městské muzeum","Municipal Museum of Volyně","",
ORG-000025,"Muzeum Podblanicka, příspěvková organizace","Museum of Podblanicko","",
ORG-000101,"Město Velvary - Městské muzeum","Municipal Museum of Velvary","",
ORG-000063,"Kulturní a vzdělávací středisko - Městské muzeum Valašské Klobouky","Municipal Museum of Valašské Klobouky","",
ORG-000023,"Oblastní muzeum v Ústí nad Labem, příspěvková organizace","Regional Museum in Ústí nad Labem","",
ORG-000045,"Městské kulturní zařízení Uničov","Municipal Cultural Facility of Uničov","",
ORG-000062,"Město Unhošť - Melicharovo vlastivědné muzeum","Melichar's Local History Museum in Unhošť","",
ORG-000061,"Muzeum Jana Amose Komenského v Uherském Brodě","Jan Amos Comenius Museum in Uherský Brod","https://ror.org/05cvdz556",
ORG-000060,"Slovácké muzeum v Uherském Hradišti, příspěvková organizace","Museum of Slovácko in Uherské Hradiště","",
ORG-000095,"Městské muzeum Týniště nad Orlicí [zaniklé]","Municipal Museum of Týniště nad Orlicí [defunct]","",
ORG-000022,"Muzeum Českého ráje v Turnově, příspěvková organizace","Museum of Bohemian Paradise in Turnov","https://ror.org/04pcraj31",
ORG-000057,"Muzeum Vysočiny Třebíč, příspěvková organizace","Museum of Vysočina in Třebíč","",
ORG-000021,"Muzeum Podkrkonoší v Trutnově","Museum of Podkrkonoší in Trutnov","",
ORG-000020,"Regionální muzeum v Teplicích, příspěvková organizace","Regional Museum in Teplice","https://ror.org/04mez0d16",
ORG-000019,"Muzeum Českého lesa v Tachově, příspěvková organizace","Museum of the Bohemian Forest in Tachov","",
ORG-000044,"Husitské muzeum v Táboře","Hussite Museum in Tábor","https://ror.org/002jehj87",
ORG-000002,"Muzeum Šumavy Sušice, příspěvková organizace","Museum of Šumava in Sušice","",
ORG-000016,"Městské muzeum ve Stříbře, příspěvková organizace","Municipal Museum in Stříbro","",
ORG-000007,"Muzeum středního Pootaví Strakonice","Museum of the Central Pootaví in Strakonice","https://ror.org/05sqvvk08",
ORG-000058,"Zámek Slavkov - Austerlitz, příspěvková organizace","Slavkov - Austerlitz Manor","",
ORG-000093,"Vlastivědné muzeum ve Slaném","Local History Museum in Slaný","",
ORG-000196,"Městské muzeum Sedlčany, příspěvková organizace","Municipal Museum of Sedlčany","",
ORG-000195,"Městské muzeum Rýmařov, příspěvková organizace","Municipal Museum of Rýmařov","",
ORG-000194,"Muzeum a galerie Orlických hor v Rychnově nad Kněžnou","Museum and Gallery of the Orlické Mountains in Rychnov nad Kněžnou","https://ror.org/002dnpc64",
ORG-000193,"Středočeské muzeum v Roztokách u Prahy, příspěvková organizace","Central Bohemian Museum in Roztoky","https://ror.org/03cmqyv16",
ORG-000192,"Podřipské muzeum","Museum of Podřipsko","",
ORG-000191,"Západočeské muzeum v Plzni, příspěvková organizace - Muzeum Dr. Bohuslava Horáka v Rokycanech","Dr. Bohuslav Horák Museum in Rokycany","https://ror.org/016jp5513",ORG-000184
ORG-000190,"Muzeum T.G.M. Rakovník, příspěvková organizace","Masaryk Museum of Rakovník","",
ORG-000001,"Město Pyšely - Muzeum","Museum of Pyšely","",
ORG-000188,"Muzeum Komenského v Přerově, příspěvková organizace","Comenius Museum in Přerov","https://ror.org/010pg3352",
ORG-000187,"Muzeum a galerie v Prostějově, příspěvková organizace","Museum and Gallery in Prostějov","",
ORG-000186,"Prachatické muzeum","Museum of Prachatice","",
ORG-000185,"Polabské muzeum, příspěvková organizace","Museum of Polabí","https://ror.org/02mnc6m50",
ORG-000199,"Město Podbořany - Městské muzeum","Municipal Museum of Podbořany","",
ORG-000183,"Prácheňské muzeum v Písku","Prácheň Museum in Písek","",
ORG-000182,"Východočeské muzeum v Pardubicích","East Bohemian Museum in Pardubice","https://ror.org/00dh8qa61",
ORG-000181,"Městské muzeum Antonína Sovy v Pacově","Antonín Sova Municipal Museum in Pacov","",
ORG-000180,"Slezské zemské muzeum","Silesian Museum","https://ror.org/0404wkz93",
ORG-000179,"Vlastivědné muzeum v Olomouci","Local History Museum in Olomouc","https://ror.org/014qh1461",
ORG-000178,"Polabské muzeum, příspěvková organizace - Vlastivědné muzeum Nymburk","Local History Museum of Nymburk","https://ror.org/02mnc6m50",ORG-000185
ORG-000176,"Klub kultury Napajedla, příspěvková organizace - Muzeum","Museum of Napajedla","",
ORG-000175,"Muzeum Náchodska","Museum of Náchodsko","",
ORG-000174,"Oblastní muzeum a galerie v Mostě, příspěvková organizace","Regional Museum and Gallery in Most","",
ORG-000173,"Město Morkovice-Slížany - Košíkářské muzeum","Basketry Museum in Morkovice","",
ORG-000172,"Kultura Moravský Krumlov - Městské muzeum","Municipal Museum of Moravský Krumlov","",
ORG-000171,"Kulturní služby města Moravská Třebová - Městské muzeum","Municipal Museum of Moravská Třebová","",
ORG-000154,"Milevské muzeum","Museum of Milevsko","",
ORG-000153,"Regionální muzeum v Mikulově, příspěvková organizace","Regional Museum in Mikulov","",
ORG-000145,"Obec Kvasice - Obecní muzeum","Municipal Museum of Kvasice","",
ORG-000143,"Městské informační a kulturní středisko Krnov - Městské muzeum","Municipal Museum of Krnov","",
ORG-000141,"Městské kulturní středisko Kojetín, příspěvková organizace - Městské muzeum","Municipal Museum of Kojetín","",
ORG-000073,"Kulturní zařízení Kadaň, příspěvková organizace - Městské muzeum","Municipal Museum in Kadaň","",
ORG-000158,"Město Jevíčko - Městské muzeum","Municipal Museum of Jevíčko","",
ORG-000163,"Městská kulturní zařízení Hranice, příspěvková organizace - Muzeum a galerie","Museum and Gallery of Hranice","",
