vid,id,name,name_en,external_uri,weight,parent
feature_type,HES-000527,ohrazení/fortifikace,enclosure/fortification,http://vocab.getty.edu/aat/300424383,900,HES-000579
feature_type,HES-000528,bašta,wall tower,http://vocab.getty.edu/aat/300002495,902,HES-000579
feature_type,HES-000529,brána,gate,http://vocab.getty.edu/aat/300002916,903,HES-000579
feature_type,HES-000530,hradba,defensive wall,http://vocab.getty.edu/aat/300002485,904,HES-000579
feature_type,HES-000531,motte,motte,http://vocab.getty.edu/aat/300175482,905,HES-000579
feature_type,HES-000532,ohradní zeď/plot,wall/fence,http://vocab.getty.edu/aat/300005044,906,HES-000579
feature_type,HES-000533,parkánová hradba,zwinger wall,http://vocab.getty.edu/aat/300002563,909,HES-000579
feature_type,HES-000534,val,rampart,http://vocab.getty.edu/aat/300002505,911,HES-000579
feature_type,HES-000535,zákop,trench,http://vocab.getty.edu/aat/300006951,914,HES-000579
feature_type,HES-000536,převýšená plocha,mound,http://vocab.getty.edu/aat/300008024,1601,HES-000585
feature_type,HES-000537,zahloubená plocha,depression,http://vocab.getty.edu/aat/300008021,1602,HES-000585
feature_type,HES-000538,lineární převýšený útvar,linear mound,http://vocab.getty.edu/aat/300428241,1603,HES-000585
feature_type,HES-000539,lineární zahloubený útvar,linear depression,http://vocab.getty.edu/aat/300008021,1604,HES-000585
feature_type,HES-000540,malba/freska,painting/fresco,http://vocab.getty.edu/aat/300177433,704,HES-000577
feature_type,HES-000541,skalní rytina,rock carving,http://vocab.getty.edu/aat/300080131,707,HES-000577
feature_type,HES-000542,výrobní objekt,production feature,http://vocab.getty.edu/aat/300164121,800,HES-000578
feature_type,HES-000543,místo zpracování,processing place,http://vocab.getty.edu/aat/300004531,801,HES-000578
feature_type,HES-000544,místo výroby,production place,http://vocab.getty.edu/aat/300004531,802,HES-000578
feature_type,HES-000545,hamr,hammer mill,http://vocab.getty.edu/aat/300426925,803,HES-000578
feature_type,HES-000546,kovárna,blacksmith,http://vocab.getty.edu/aat/300025313,804,HES-000578
feature_type,HES-000547,vápenická jáma,lime pit,http://vocab.getty.edu/aat/300255747,805,HES-000578
feature_type,HES-000548,pec cihlářská,brick oven,http://vocab.getty.edu/aat/300022989,1303,HES-000583
feature_type,HES-000549,pec dehtářská,tar pit,http://vocab.getty.edu/aat/300022798,1304,HES-000583
feature_type,HES-000550,pec hrnčířská,pottery kiln,http://vocab.getty.edu/aat/300430673,1305,HES-000583
feature_type,HES-000551,pec hutnická,iron-smelting furnace,http://vocab.getty.edu/aat/300427425,1306,HES-000583
feature_type,HES-000552,pec chlebová,bake oven,http://vocab.getty.edu/aat/300195511,1307,HES-000583
feature_type,HES-000553,pec kovolitecká,foundry,http://vocab.getty.edu/aat/300103997,1308,HES-000583
feature_type,HES-000554,milíř,charcoal kiln,http://vocab.getty.edu/aat/300022798,1301,HES-000583
feature_type,HES-000555,pec sklářská,glass furnace,http://vocab.getty.edu/aat/300424940,1309,HES-000583
feature_type,HES-000556,pec vápenická,lime kiln,http://vocab.getty.edu/aat/300006404,1310,HES-000583
feature_type,HES-000557,kovářská výheň,forge,http://vocab.getty.edu/aat/300023137,1311,HES-000583
feature_type,HES-000558,těžební objekt,mining feature,http://vocab.getty.edu/aat/300000388,1400,HES-000584
feature_type,HES-000559,místo těžby,extracting place,http://vocab.getty.edu/aat/300000388,1401,HES-000584
feature_type,HES-000560,lom,quarry,http://vocab.getty.edu/aat/300000402,1402,HES-000584
feature_type,HES-000561,obval,spoil bank,http://vocab.getty.edu/aat/300000821,1403,HES-000584
feature_type,HES-000562,pinka,binge,http://vocab.getty.edu/aat/300443505,1404,HES-000584
feature_type,HES-000563,sejp/halda,spoil heap,http://vocab.getty.edu/aat/300000821,1405,HES-000584
feature_type,HES-000564,šachta,shaft,http://vocab.getty.edu/aat/300006425,1406,HES-000584
feature_type,HES-000565,štola,adit,http://vocab.getty.edu/aat/300006425,1407,HES-000584
feature_type,HES-000566,těžební jáma,mining pit,http://vocab.getty.edu/aat/300000389,1408,HES-000584
feature_type,HES-000567,nespecifikovaný reliéfní útvar,unspecified terrain feature,http://vocab.getty.edu/aat/300387704,1600,HES-000585
feature_type,HES-000568,neklidný terén,uneven surface,http://vocab.getty.edu/aat/300387704,1605,HES-000585
feature_type,HES-000569,plošina,platform,http://vocab.getty.edu/aat/300393219,1606,HES-000585
feature_type,HES-000570,terénní hrana,terrain edge,http://vocab.getty.edu/aat/300004182,1607,HES-000585
